# Table of globular clusters and dwarf spheroidals structural parameters from Vitral 2021 (Table C1). 
# If you use this table, please acknowledge our work (see 'Attribution'): https://gitlab.com/eduardo-vitral/balrogo#attribution 
# All the information of this table is derived in Vitral 2021, apart from the distances, which were taken from Baumgardt et al. 2019. 
# - - DEGREES DEGREES KPC MASYR MASYR MASYR MASYR - ARCMIN ARCMIN 
# ID OTHER_ID RA DEC D PMRA PMDEC ERR_PMRA ERR_PMDEC SD_MODEL RH ERR_RH 
NGC6656         M22                   279.09980       -23.90477   3.23    9.839   -5.595    0.011    0.010   S       8.02   0.15
NGC6681         M70                   280.80317       -32.29214   9.31    1.440   -4.727    0.008    0.008   P       1.67   0.03
NGC6712         Blank                 283.26804        -8.70596   6.95    3.349   -4.454    0.010    0.010   P       1.98   0.05
NGC6715         M54                   283.76386       -30.47986  24.13   -2.683   -1.380    0.003    0.003   S       2.73   0.13
NGC6717         Pal9                  283.77515       -22.70150   7.10   -3.149   -5.020    0.016    0.016   S       0.94   0.04
NGC6723         Blank                 284.88813       -36.63226   8.30    1.028   -2.419    0.006    0.006   S       2.33   0.02
NGC6749         Blank                 286.31399         1.89998   7.80   -2.837   -5.995    0.014    0.015   P       1.38   0.05
NGC6752         Blank                 287.71710       -59.98458   4.25   -3.162   -4.035    0.003    0.003   P       5.17   0.02
NGC6760         Blank                 287.80024         1.03046   7.95   -1.084   -3.615    0.009    0.009   S       2.32   0.10
NGC6779         M56                   289.14820        30.18348   9.68   -2.007    1.616    0.006    0.006   S       1.60   0.01
NGC6809         M55                   294.99878       -30.96479   5.30   -3.431   -9.315    0.003    0.003   S       3.94   0.02
NGC6838         M71                   298.44369        18.77918   3.99   -3.414   -2.657    0.004    0.004   S       3.37   0.12
NGC6864         M75                   301.52017       -21.92228  21.61   -0.594   -2.803    0.011    0.011   P       1.08   0.01
NGC6934         Blank                 308.54736         7.40445  15.40   -2.657   -4.700    0.011    0.010   P       1.24   0.02
